    3.57	-63.420	-65.434	-66.661
    3.58	-63.423	-65.439	-66.668
    3.59	-63.426	-65.445	-66.674
    3.60	-63.429	-65.450	-66.681
    3.61	-63.432	-65.456	-66.688
    3.62	-63.435	-65.461	-66.695
    3.63	-63.438	-65.467	-66.702
    3.64	-63.441	-65.472	-66.708
    3.65	-63.444	-65.478	-66.715
    3.66	-63.447	-65.483	-66.722
    3.67	-63.449	-65.488	-66.728
    3.68	-63.452	-65.494	-66.735
    3.69	-63.455	-65.499	-66.742
    3.70	-63.458	-65.504	-66.748
    3.71	-63.460	-65.509	-66.755
    3.72	-63.463	-65.515	-66.761
    3.73	-63.466	-65.520	-66.768
    3.74	-63.469	-65.525	-66.774
    3.75	-63.471	-65.530	-66.780
    3.76	-63.474	-65.535	-66.787
    3.77	-63.476	-65.540	-66.793
    3.78	-63.479	-65.545	-66.799
    3.79	-63.482	-65.550	-66.805
    3.80	-63.484	-65.555	-66.812
    3.81	-63.487	-65.560	-66.818
    3.82	-63.489	-65.565	-66.824
    3.83	-63.492	-65.570	-66.830
    3.84	-63.494	-65.575	-66.836
    3.85	-63.497	-65.579	-66.842
    3.86	-63.499	-65.584	-66.848
    3.87	-63.501	-65.589	-66.854
    3.88	-63.504	-65.594	-66.860
    3.89	-63.506	-65.598	-66.866
    3.90	-63.509	-65.603	-66.872
    3.91	-63.511	-65.608	-66.878
    3.92	-63.513	-65.612	-66.883
    3.93	-63.516	-65.617	-66.889
    3.94	-63.518	-65.622	-66.895
    3.95	-63.520	-65.626	-66.901
    3.96	-63.522	-65.631	-66.906
    3.97	-63.525	-65.635	-66.912
    3.98	-63.527	-65.640	-66.918
    3.99	-63.529	-65.644	-66.923
    4.00	-63.531	-65.649	-66.929
    4.01	-63.533	-65.653	-66.934
    4.02	-63.535	-65.657	-66.940
    4.03	-63.538	-65.662	-66.945
    4.04	-63.540	-65.666	-66.951
    4.05	-63.542	-65.670	-66.956
    4.06	-63.544	-65.675	-66.961
    4.07	-63.546	-65.679	-66.967
    4.08	-63.548	-65.683	-66.972
    4.09	-63.550	-65.687	-66.977
    4.10	-63.552	-65.692	-66.983
    4.11	-63.554	-65.696	-66.988
    4.12	-63.556	-65.700	-66.993
    4.13	-63.558	-65.704	-66.998
    4.14	-63.560	-65.708	-67.003
    4.15	-63.562	-65.712	-67.009
    4.16	-63.563	-65.716	-67.014
    4.17	-63.565	-65.720	-67.019
    4.18	-63.567	-65.724	-67.024
    4.19	-63.569	-65.728	-67.029
    4.20	-63.571	-65.732	-67.034
    4.21	-63.573	-65.736	-67.039
    4.22	-63.574	-65.740	-67.044
    4.23	-63.576	-65.744	-67.049
    4.24	-63.578	-65.748	-67.053
    4.25	-63.580	-65.751	-67.058
    4.26	-63.581	-65.755	-67.063
    4.27	-63.583	-65.759	-67.068
    4.28	-63.585	-65.763	-67.073
    4.29	-63.586	-65.766	-67.077
    4.30	-63.588	-65.770	-67.082
    4.31	-63.590	-65.774	-67.087
    4.32	-63.591	-65.777	-67.092
    4.33	-63.593	-65.781	-67.096
    4.34	-63.594	-65.785	-67.101
    4.35	-63.596	-65.788	-67.105
    4.36	-63.598	-65.792	-67.110
    4.37	-63.599	-65.795	-67.114
    4.38	-63.601	-65.799	-67.119
    4.39	-63.602	-65.802	-67.123
    4.40	-63.604	-65.806	-67.128
    4.41	-63.605	-65.809	-67.132
    4.42	-63.606	-65.813	-67.137
    4.43	-63.608	-65.816	-67.141
    4.44	-63.609	-65.820	-67.146
    4.45	-63.611	-65.823	-67.150
    4.46	-63.612	-65.826	-67.154
    4.47	-63.614	-65.830	-67.158
    4.48	-63.615	-65.833	-67.163
    4.49	-63.616	-65.836	-67.167
    4.50	-63.618	-65.840	-67.171
    4.51	-63.619	-65.843	-67.175
    4.52	-63.620	-65.846	-67.180
    4.53	-63.621	-65.849	-67.184
    4.54	-63.623	-65.852	-67.188
    4.55	-63.624	-65.856	-67.192
    4.56	-63.625	-65.859	-67.196
    4.57	-63.626	-65.862	-67.200
    4.58	-63.628	-65.865	-67.204
    4.59	-63.629	-65.868	-67.208
    4.60	-63.630	-65.871	-67.212
    4.61	-63.631	-65.874	-67.216
    4.62	-63.632	-65.877	-67.220
    4.63	-63.633	-65.880	-67.224
    4.64	-63.635	-65.883	-67.228
    4.65	-63.636	-65.886	-67.231
    4.66	-63.637	-65.889	-67.235
    4.67	-63.638	-65.892	-67.239
    4.68	-63.639	-65.895	-67.243
    4.69	-63.640	-65.898	-67.247
    4.70	-63.641	-65.901	-67.250
    4.71	-63.642	-65.904	-67.254
    4.72	-63.643	-65.906	-67.258
    4.73	-63.644	-65.909	-67.262
    4.74	-63.645	-65.912	-67.265
    4.75	-63.646	-65.915	-67.269
    4.76	-63.647	-65.917	-67.272
    4.77	-63.648	-65.920	-67.276
    4.78	-63.649	-65.923	-67.280
    4.79	-63.650	-65.926	-67.283
    4.80	-63.650	-65.928	-67.287
    4.81	-63.651	-65.931	-67.290
    4.82	-63.652	-65.934	-67.294
    4.83	-63.653	-65.936	-67.297
    4.84	-63.654	-65.939	-67.301
    4.85	-63.655	-65.941	-67.304
    4.86	-63.656	-65.944	-67.307
    4.87	-63.656	-65.947	-67.311
    4.88	-63.657	-65.949	-67.314
    4.89	-63.658	-65.952	-67.318
    4.90	-63.659	-65.954	-67.321
    4.91	-63.659	-65.957	-67.324
    4.92	-63.660	-65.959	-67.327
    4.93	-63.661	-65.961	-67.331
    4.94	-63.662	-65.964	-67.334
    4.95	-63.662	-65.966	-67.337
    4.96	-63.663	-65.969	-67.340
    4.97	-63.664	-65.971	-67.344
    4.98	-63.664	-65.973	-67.347
    4.99	-63.665	-65.976	-67.350
    5.00	-63.666	-65.978	-67.353
    5.01	-63.666	-65.980	-67.356
    5.02	-63.667	-65.983	-67.359
    5.03	-63.667	-65.985	-67.362
    5.04	-63.668	-65.987	-67.365
    5.05	-63.669	-65.989	-67.368
    5.06	-63.669	-65.992	-67.371
    5.07	-63.670	-65.994	-67.374
    5.08	-63.670	-65.996	-67.377
    5.09	-63.671	-65.998	-67.380
    5.10	-63.671	-66.000	-67.383
    5.11	-63.672	-66.003	-67.386
    5.12	-63.672	-66.005	-67.389
    5.13	-63.673	-66.007	-67.392
    5.14	-63.673	-66.009	-67.395
    5.15	-63.674	-66.011	-67.397
    5.16	-63.674	-66.013	-67.400
    5.17	-63.674	-66.015	-67.403
    5.18	-63.675	-66.017	-67.406
    5.19	-63.675	-66.019	-67.409
    5.20	-63.676	-66.021	-67.411
    5.21	-63.676	-66.023	-67.414
    5.22	-63.676	-66.025	-67.417
    5.23	-63.677	-66.027	-67.419
    5.24	-63.677	-66.029	-67.422
    5.25	-63.677	-66.031	-67.425
    5.26	-63.678	-66.033	-67.427
    5.27	-63.678	-66.035	-67.430
    5.28	-63.678	-66.037	-67.433
    5.29	-63.679	-66.038	-67.435
    5.30	-63.679	-66.040	-67.438
    5.31	-63.679	-66.042	-67.440
    5.32	-63.679	-66.044	-67.443
    5.33	-63.680	-66.046	-67.445
    5.34	-63.680	-66.047	-67.448
    5.35	-63.680	-66.049	-67.450
    5.36	-63.680	-66.051	-67.453
    5.37	-63.680	-66.053	-67.455
    5.38	-63.681	-66.054	-67.458
    5.39	-63.681	-66.056	-67.460
    5.40	-63.681	-66.058	-67.463
    5.41	-63.681	-66.060	-67.465
    5.42	-63.681	-66.061	-67.467
    5.43	-63.681	-66.063	-67.470
    5.44	-63.681	-66.065	-67.472
    5.45	-63.682	-66.066	-67.474
    5.46	-63.682	-66.068	-67.477
    5.47	-63.682	-66.069	-67.479
    5.48	-63.682	-66.071	-67.481
    5.49	-63.682	-66.072	-67.483
    5.50	-63.682	-66.074	-67.486
    5.51	-63.682	-66.076	-67.488
    5.52	-63.682	-66.077	-67.490
    5.53	-63.682	-66.079	-67.492
    5.54	-63.682	-66.080	-67.495
    5.55	-63.682	-66.082	-67.497
    5.56	-63.682	-66.083	-67.499
    5.57	-63.682	-66.085	-67.501
    5.58	-63.682	-66.086	-67.503
    5.59	-63.682	-66.087	-67.505
    5.60	-63.682	-66.089	-67.507
    5.61	-63.682	-66.090	-67.509
    5.62	-63.682	-66.092	-67.511
    5.63	-63.682	-66.093	-67.513
    5.64	-63.682	-66.094	-67.515
    5.65	-63.682	-66.096	-67.517
    5.66	-63.681	-66.097	-67.519
    5.67	-63.681	-66.098	-67.521
    5.68	-63.681	-66.100	-67.523
    5.69	-63.681	-66.101	-67.525
    5.70	-63.681	-66.102	-67.527
    5.71	-63.681	-66.104	-67.529
    5.72	-63.681	-66.105	-67.531
    5.73	-63.680	-66.106	-67.533
    5.74	-63.680	-66.107	-67.535
    5.75	-63.680	-66.109	-67.537
    5.76	-63.680	-66.110	-67.539
    5.77	-63.680	-66.111	-67.540
    5.78	-63.679	-66.112	-67.542
    5.79	-63.679	-66.113	-67.544
    5.80	-63.679	-66.114	-67.546
    5.81	-63.679	-66.116	-67.548
    5.82	-63.679	-66.117	-67.549
    5.83	-63.678	-66.118	-67.551
    5.84	-63.678	-66.119	-67.553
    5.85	-63.678	-66.120	-67.555
    5.86	-63.677	-66.121	-67.556
